TL:
Epoch	Train Accuracy	Validation Accuracy	Learning Rate
1	0.5833		0.6789		5.000042074243538e-05
2	0.6842		0.6881		5.000042074243538e-05
3	0.7001		0.6906		5.000042074243538e-05
4	0.7066		0.7174		5.000042074243538e-05
5	0.7281		0.7391		5.000042074243538e-05
6	0.7404		0.7483		2.7971924282610416e-05
7	0.7455		0.7600		2.6080753741553053e-05
8	0.7509		0.7492		2.4317554562003352e-05
9	0.7586		0.7366		1.1336643183312844e-05
10	0.7604		0.7659		5.285195129545173e-06
11	0.7619		0.7759		4.85220425616717e-06
12	0.7661		0.7726		4.708785127149895e-06
13	0.7697		0.7709		2.284846686961828e-06
14	0.7678		0.7885		1.1086420954597997e-06
15	0.7729		0.7642		1.0758910775621189e-06

FT:
Epoch	Train Accuracy	Validation Accuracy	Learning Rate
1	0.8263		0.8645		4.999933480576146e-06
2	0.8828		0.9038		4.999933480576146e-06
3	0.9066		0.9105		4.999933480576146e-06
4	0.9171		0.9038		4.999933480576146e-06
5	0.9350		0.9356		2.499966740288073e-06
6	0.9358		0.9365		2.499966740288073e-06
7	0.9397		0.9440		2.499966740288073e-06
8	0.9423		0.9273		2.499966740288073e-06
9	0.9471		0.9490		1.2499833701440366e-06
10	0.9484		0.9440		1.2499833701440366e-06
